16,13,3,3,0,3,13,16,6,0,3,10,3,0,0
13,6,3,20,3,0,6,16,13,3,0,3,0,3,0
6,0,0,3,0,0,0,6,3,0,0,0,3,20,3
10,6,3,0,3,0,3,10,3,0,3,0,0,3,0
9,23,16,9,20,3,0,3,0,3,10,6,0,3,3
10,12,16,13,6,3,0,3,0,0,6,10,9,13,23
9,13,6,3,3,10,9,10,6,0,0,6,13,6,3
13,19,3,0,0,6,10,9,13,6,0,3,13,6,0
6,13,3,0,0,0,3,3,16,13,3,0,6,10,3
0,3,0,3,3,0,3,0,3,3,0,0,0,3,3
0,0,3,16,13,6,10,6,0,0,0,0,0,3,20
0,0,3,13,6,3,6,10,6,0,0,0,0,3,6
0,3,0,6,3,13,3,6,13,3,0,0,6,13,13
3,10,6,10,6,16,3,6,13,3,0,3,13,9,3
0,3,0,3,3,13,6,10,6,0,0,3,16,13,3
