3,13,13,3,0,0,3,20,9,10,6,13,13,3,0,0,0,0,0,0
3,3,3,3,3,0,0,9,10,6,3,3,6,0,3,0,0,3,0,3
10,3,6,23,16,6,3,10,6,3,10,6,10,6,13,6,3,20,9,10
3,3,10,12,19,23,3,3,0,3,3,0,3,6,16,16,6,9,10,6
0,0,9,13,19,6,0,0,6,10,3,0,3,10,9,16,29,13,9,3
0,3,10,9,13,3,0,6,13,6,0,3,0,3,0,9,13,9,16,16
3,3,3,0,6,0,6,13,26,6,6,10,3,3,3,13,9,6,26,16
16,16,3,3,10,9,10,6,9,13,13,6,3,20,6,16,16,13,6,6
16,19,3,0,6,10,6,3,13,6,6,3,3,3,3,3,3,3,3,10
6,13,6,0,0,3,0,3,23,6,13,29,13,6,13,6,3,0,3,3
0,6,10,3,3,3,0,3,3,0,6,26,6,3,16,16,23,6,13,6
0,0,3,3,16,16,6,20,3,0,3,13,6,0,6,3,3,6,16,13
3,0,0,3,16,16,3,3,3,0,3,6,20,9,20,6,3,23,6,6
10,3,0,0,3,6,0,3,10,6,10,3,6,23,9,10,6,13,6,13
3,0,3,3,6,10,3,0,3,0,3,0,3,13,3,3,3,3,3,16
3,3,13,26,13,6,0,0,0,0,0,0,0,3,3,6,10,6,3,16
10,3,3,3,3,3,0,0,3,0,0,3,0,3,13,13,9,13,6,13
3,3,0,0,3,20,3,3,20,3,3,10,3,0,3,3,3,23,3,3
3,10,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
